1 []
2 []
3 [['car: 100%', 'Left=489,', 'Top=460,', 'Right=795,', 'Bottom=675'], ['bus: 70%', 'Left=591,', 'Top=360,', 'Right=753,', 'Bottom=485'], ['car: 91%', 'Left=927,', 'Top=446,', 'Right=1058,', 'Bottom=546']]
4 [['car: 100%', 'Left=488,', 'Top=461,', 'Right=796,', 'Bottom=674'], ['bus: 72%', 'Left=591,', 'Top=360,', 'Right=753,', 'Bottom=485'], ['car: 90%', 'Left=928,', 'Top=446,', 'Right=1059,', 'Bottom=546']]
5 [['car: 100%', 'Left=487,', 'Top=462,', 'Right=797,', 'Bottom=673'], ['bus: 73%', 'Left=591,', 'Top=360,', 'Right=753,', 'Bottom=486'], ['car: 88%', 'Left=928,', 'Top=446,', 'Right=1059,', 'Bottom=547']]
6 [['car: 100%', 'Left=487,', 'Top=462,', 'Right=797,', 'Bottom=673'], ['bus: 73%', 'Left=591,', 'Top=360,', 'Right=753,', 'Bottom=485'], ['car: 88%', 'Left=928,', 'Top=446,', 'Right=1060,', 'Bottom=547']]
7 [['car: 100%', 'Left=487,', 'Top=462,', 'Right=797,', 'Bottom=674'], ['bus: 73%', 'Left=591,', 'Top=360,', 'Right=754,', 'Bottom=485'], ['car: 88%', 'Left=927,', 'Top=447,', 'Right=1061,', 'Bottom=547']]
8 [['car: 100%', 'Left=488,', 'Top=461,', 'Right=796,', 'Bottom=674'], ['bus: 73%', 'Left=591,', 'Top=360,', 'Right=753,', 'Bottom=485'], ['car: 88%', 'Left=927,', 'Top=447,', 'Right=1061,', 'Bottom=547']]
9 [['car: 100%', 'Left=489,', 'Top=461,', 'Right=796,', 'Bottom=674'], ['bus: 73%', 'Left=591,', 'Top=360,', 'Right=754,', 'Bottom=485'], ['car: 87%', 'Left=928,', 'Top=447,', 'Right=1060,', 'Bottom=547']]
10 [['car: 100%', 'Left=488,', 'Top=461,', 'Right=796,', 'Bottom=674'], ['bus: 75%', 'Left=591,', 'Top=360,', 'Right=753,', 'Bottom=484'], ['car: 88%', 'Left=927,', 'Top=447,', 'Right=1060,', 'Bottom=547']]
11 [['car: 100%', 'Left=487,', 'Top=461,', 'Right=796,', 'Bottom=674'], ['bus: 77%', 'Left=591,', 'Top=360,', 'Right=753,', 'Bottom=484'], ['car: 89%', 'Left=927,', 'Top=447,', 'Right=1060,', 'Bottom=547']]
12 [['car: 100%', 'Left=487,', 'Top=460,', 'Right=795,', 'Bottom=674'], ['bus: 78%', 'Left=591,', 'Top=361,', 'Right=753,', 'Bottom=484'], ['car: 90%', 'Left=926,', 'Top=447,', 'Right=1060,', 'Bottom=547']]
13 [['car: 100%', 'Left=487,', 'Top=460,', 'Right=794,', 'Bottom=673'], ['bus: 78%', 'Left=590,', 'Top=361,', 'Right=753,', 'Bottom=484'], ['car: 90%', 'Left=926,', 'Top=447,', 'Right=1061,', 'Bottom=548']]
14 [['car: 100%', 'Left=487,', 'Top=460,', 'Right=794,', 'Bottom=673'], ['bus: 77%', 'Left=591,', 'Top=361,', 'Right=753,', 'Bottom=484'], ['car: 90%', 'Left=926,', 'Top=447,', 'Right=1062,', 'Bottom=548']]
15 [['car: 100%', 'Left=487,', 'Top=460,', 'Right=794,', 'Bottom=673'], ['bus: 76%', 'Left=591,', 'Top=361,', 'Right=753,', 'Bottom=484'], ['car: 90%', 'Left=926,', 'Top=446,', 'Right=1062,', 'Bottom=548']]
16 [['car: 100%', 'Left=487,', 'Top=460,', 'Right=795,', 'Bottom=673'], ['bus: 76%', 'Left=591,', 'Top=361,', 'Right=752,', 'Bottom=484'], ['car: 90%', 'Left=925,', 'Top=446,', 'Right=1061,', 'Bottom=548']]
17 [['car: 100%', 'Left=486,', 'Top=461,', 'Right=796,', 'Bottom=672'], ['bus: 76%', 'Left=591,', 'Top=361,', 'Right=752,', 'Bottom=484'], ['car: 89%', 'Left=925,', 'Top=446,', 'Right=1062,', 'Bottom=547']]
18 [['car: 100%', 'Left=487,', 'Top=461,', 'Right=796,', 'Bottom=672'], ['bus: 77%', 'Left=591,', 'Top=361,', 'Right=752,', 'Bottom=484'], ['car: 90%', 'Left=924,', 'Top=446,', 'Right=1063,', 'Bottom=547']]
19 [['car: 100%', 'Left=487,', 'Top=461,', 'Right=796,', 'Bottom=672'], ['bus: 78%', 'Left=591,', 'Top=361,', 'Right=752,', 'Bottom=484'], ['car: 91%', 'Left=924,', 'Top=445,', 'Right=1064,', 'Bottom=547']]
20 [['car: 100%', 'Left=488,', 'Top=461,', 'Right=795,', 'Bottom=672'], ['bus: 78%', 'Left=591,', 'Top=361,', 'Right=752,', 'Bottom=484'], ['car: 91%', 'Left=925,', 'Top=445,', 'Right=1063,', 'Bottom=547']]
21 [['car: 100%', 'Left=487,', 'Top=462,', 'Right=795,', 'Bottom=672'], ['bus: 77%', 'Left=591,', 'Top=361,', 'Right=752,', 'Bottom=484'], ['car: 92%', 'Left=926,', 'Top=445,', 'Right=1063,', 'Bottom=548']]
22 [['car: 100%', 'Left=487,', 'Top=462,', 'Right=796,', 'Bottom=672'], ['bus: 75%', 'Left=592,', 'Top=361,', 'Right=752,', 'Bottom=484'], ['car: 91%', 'Left=927,', 'Top=445,', 'Right=1062,', 'Bottom=548']]
23 [['car: 100%', 'Left=487,', 'Top=462,', 'Right=796,', 'Bottom=672'], ['bus: 73%', 'Left=593,', 'Top=361,', 'Right=752,', 'Bottom=484'], ['car: 90%', 'Left=928,', 'Top=445,', 'Right=1061,', 'Bottom=547']]
24 [['car: 100%', 'Left=486,', 'Top=461,', 'Right=796,', 'Bottom=672'], ['bus: 72%', 'Left=593,', 'Top=361,', 'Right=752,', 'Bottom=484'], ['car: 88%', 'Left=929,', 'Top=444,', 'Right=1061,', 'Bottom=547']]
25 [['car: 100%', 'Left=486,', 'Top=461,', 'Right=797,', 'Bottom=671'], ['bus: 73%', 'Left=593,', 'Top=361,', 'Right=752,', 'Bottom=485'], ['car: 85%', 'Left=928,', 'Top=444,', 'Right=1061,', 'Bottom=548']]
26 [['car: 100%', 'Left=487,', 'Top=460,', 'Right=796,', 'Bottom=672'], ['bus: 74%', 'Left=592,', 'Top=361,', 'Right=752,', 'Bottom=485'], ['car: 85%', 'Left=927,', 'Top=444,', 'Right=1061,', 'Bottom=547']]
27 [['car: 100%', 'Left=488,', 'Top=460,', 'Right=795,', 'Bottom=672'], ['bus: 76%', 'Left=592,', 'Top=361,', 'Right=752,', 'Bottom=485'], ['car: 86%', 'Left=925,', 'Top=444,', 'Right=1061,', 'Bottom=546']]
28 [['car: 100%', 'Left=488,', 'Top=459,', 'Right=795,', 'Bottom=672'], ['bus: 75%', 'Left=592,', 'Top=361,', 'Right=752,', 'Bottom=485'], ['car: 88%', 'Left=925,', 'Top=445,', 'Right=1061,', 'Bottom=545']]
29 [['car: 100%', 'Left=488,', 'Top=459,', 'Right=795,', 'Bottom=673'], ['bus: 74%', 'Left=591,', 'Top=361,', 'Right=752,', 'Bottom=485'], ['car: 88%', 'Left=926,', 'Top=444,', 'Right=1062,', 'Bottom=545']]
30 [['car: 100%', 'Left=487,', 'Top=460,', 'Right=795,', 'Bottom=673'], ['bus: 72%', 'Left=592,', 'Top=360,', 'Right=752,', 'Bottom=485'], ['car: 86%', 'Left=928,', 'Top=444,', 'Right=1062,', 'Bottom=545']]
31 [['car: 100%', 'Left=488,', 'Top=460,', 'Right=795,', 'Bottom=674'], ['bus: 71%', 'Left=592,', 'Top=360,', 'Right=752,', 'Bottom=485'], ['car: 85%', 'Left=928,', 'Top=444,', 'Right=1062,', 'Bottom=546']]
32 [['car: 100%', 'Left=488,', 'Top=460,', 'Right=794,', 'Bottom=674'], ['bus: 70%', 'Left=592,', 'Top=360,', 'Right=752,', 'Bottom=485'], ['car: 86%', 'Left=928,', 'Top=444,', 'Right=1063,', 'Bottom=546']]
33 [['car: 100%', 'Left=488,', 'Top=461,', 'Right=794,', 'Bottom=675'], ['bus: 69%', 'Left=592,', 'Top=360,', 'Right=752,', 'Bottom=485'], ['car: 87%', 'Left=927,', 'Top=445,', 'Right=1063,', 'Bottom=546']]
34 [['car: 100%', 'Left=488,', 'Top=460,', 'Right=794,', 'Bottom=675'], ['bus: 70%', 'Left=591,', 'Top=360,', 'Right=752,', 'Bottom=485'], ['car: 85%', 'Left=927,', 'Top=445,', 'Right=1063,', 'Bottom=547']]
35 [['car: 100%', 'Left=488,', 'Top=460,', 'Right=794,', 'Bottom=674'], ['bus: 72%', 'Left=592,', 'Top=360,', 'Right=752,', 'Bottom=485'], ['car: 84%', 'Left=927,', 'Top=446,', 'Right=1063,', 'Bottom=547']]
36 [['car: 100%', 'Left=488,', 'Top=461,', 'Right=794,', 'Bottom=674'], ['bus: 75%', 'Left=592,', 'Top=360,', 'Right=752,', 'Bottom=485'], ['car: 84%', 'Left=927,', 'Top=446,', 'Right=1063,', 'Bottom=547']]
37 [['car: 100%', 'Left=489,', 'Top=461,', 'Right=794,', 'Bottom=674'], ['bus: 76%', 'Left=592,', 'Top=360,', 'Right=752,', 'Bottom=484'], ['car: 86%', 'Left=928,', 'Top=446,', 'Right=1062,', 'Bottom=547']]
38 [['car: 100%', 'Left=489,', 'Top=461,', 'Right=794,', 'Bottom=674'], ['bus: 75%', 'Left=593,', 'Top=360,', 'Right=752,', 'Bottom=485'], ['car: 86%', 'Left=927,', 'Top=446,', 'Right=1061,', 'Bottom=546']]
39 [['car: 100%', 'Left=490,', 'Top=462,', 'Right=794,', 'Bottom=674'], ['bus: 74%', 'Left=592,', 'Top=360,', 'Right=752,', 'Bottom=485'], ['car: 86%', 'Left=926,', 'Top=446,', 'Right=1061,', 'Bottom=545']]
40 [['car: 100%', 'Left=490,', 'Top=462,', 'Right=794,', 'Bottom=674'], ['bus: 76%', 'Left=592,', 'Top=360,', 'Right=752,', 'Bottom=486'], ['car: 85%', 'Left=926,', 'Top=447,', 'Right=1061,', 'Bottom=545']]
41 [['car: 100%', 'Left=490,', 'Top=462,', 'Right=794,', 'Bottom=674'], ['bus: 74%', 'Left=592,', 'Top=360,', 'Right=753,', 'Bottom=486'], ['car: 85%', 'Left=927,', 'Top=446,', 'Right=1061,', 'Bottom=545']]
42 [['car: 100%', 'Left=489,', 'Top=462,', 'Right=795,', 'Bottom=674'], ['bus: 74%', 'Left=592,', 'Top=360,', 'Right=753,', 'Bottom=486'], ['car: 86%', 'Left=927,', 'Top=445,', 'Right=1061,', 'Bottom=545']]
43 [['car: 100%', 'Left=488,', 'Top=463,', 'Right=796,', 'Bottom=674'], ['bus: 73%', 'Left=593,', 'Top=360,', 'Right=753,', 'Bottom=486'], ['car: 88%', 'Left=927,', 'Top=445,', 'Right=1061,', 'Bottom=545']]
44 [['car: 100%', 'Left=488,', 'Top=463,', 'Right=796,', 'Bottom=673'], ['bus: 73%', 'Left=593,', 'Top=360,', 'Right=753,', 'Bottom=486'], ['car: 88%', 'Left=927,', 'Top=445,', 'Right=1061,', 'Bottom=545']]
45 [['car: 100%', 'Left=488,', 'Top=463,', 'Right=796,', 'Bottom=673'], ['bus: 73%', 'Left=593,', 'Top=360,', 'Right=753,', 'Bottom=486'], ['car: 88%', 'Left=927,', 'Top=445,', 'Right=1061,', 'Bottom=545']]
46 [['car: 100%', 'Left=488,', 'Top=463,', 'Right=796,', 'Bottom=673'], ['bus: 72%', 'Left=593,', 'Top=360,', 'Right=753,', 'Bottom=486'], ['car: 88%', 'Left=928,', 'Top=445,', 'Right=1060,', 'Bottom=545']]
47 [['car: 100%', 'Left=487,', 'Top=462,', 'Right=796,', 'Bottom=672'], ['bus: 73%', 'Left=592,', 'Top=360,', 'Right=753,', 'Bottom=486'], ['car: 89%', 'Left=928,', 'Top=445,', 'Right=1059,', 'Bottom=545']]
48 [['car: 100%', 'Left=487,', 'Top=462,', 'Right=796,', 'Bottom=672'], ['bus: 72%', 'Left=593,', 'Top=361,', 'Right=753,', 'Bottom=486'], ['car: 90%', 'Left=929,', 'Top=445,', 'Right=1059,', 'Bottom=545']]
