1 []
2 []
3 [['car: 96%', 'Left=213,', 'Top=38,', 'Right=1279,', 'Bottom=717']]
4 [['car: 96%', 'Left=212,', 'Top=36,', 'Right=1279,', 'Bottom=719']]
5 [['car: 97%', 'Left=212,', 'Top=36,', 'Right=1279,', 'Bottom=718']]
6 [['car: 97%', 'Left=210,', 'Top=37,', 'Right=1279,', 'Bottom=718']]
7 [['car: 98%', 'Left=214,', 'Top=39,', 'Right=1279,', 'Bottom=716']]
8 [['car: 98%', 'Left=215,', 'Top=41,', 'Right=1279,', 'Bottom=715']]
9 [['car: 98%', 'Left=216,', 'Top=42,', 'Right=1279,', 'Bottom=716']]
10 [['car: 98%', 'Left=218,', 'Top=43,', 'Right=1279,', 'Bottom=716']]
11 [['car: 98%', 'Left=218,', 'Top=44,', 'Right=1279,', 'Bottom=716']]
12 [['car: 97%', 'Left=218,', 'Top=45,', 'Right=1279,', 'Bottom=714']]
13 [['car: 98%', 'Left=215,', 'Top=44,', 'Right=1279,', 'Bottom=714']]
14 [['car: 98%', 'Left=214,', 'Top=43,', 'Right=1279,', 'Bottom=713']]
15 [['car: 98%', 'Left=213,', 'Top=41,', 'Right=1279,', 'Bottom=713']]
16 [['car: 98%', 'Left=214,', 'Top=41,', 'Right=1279,', 'Bottom=713']]
17 [['car: 98%', 'Left=215,', 'Top=41,', 'Right=1279,', 'Bottom=713']]
18 [['car: 98%', 'Left=215,', 'Top=40,', 'Right=1279,', 'Bottom=715']]
19 [['car: 98%', 'Left=216,', 'Top=39,', 'Right=1279,', 'Bottom=715']]
20 [['car: 98%', 'Left=217,', 'Top=38,', 'Right=1279,', 'Bottom=715']]
21 [['car: 98%', 'Left=217,', 'Top=37,', 'Right=1279,', 'Bottom=715']]
22 [['car: 98%', 'Left=220,', 'Top=39,', 'Right=1279,', 'Bottom=715']]
23 [['car: 98%', 'Left=220,', 'Top=40,', 'Right=1279,', 'Bottom=714']]
24 [['car: 98%', 'Left=221,', 'Top=41,', 'Right=1279,', 'Bottom=713']]
25 [['car: 98%', 'Left=219,', 'Top=41,', 'Right=1279,', 'Bottom=714']]
26 [['car: 98%', 'Left=218,', 'Top=40,', 'Right=1279,', 'Bottom=716']]
27 [['car: 98%', 'Left=216,', 'Top=40,', 'Right=1279,', 'Bottom=715']]
28 [['car: 97%', 'Left=215,', 'Top=40,', 'Right=1279,', 'Bottom=716']]
29 [['car: 98%', 'Left=214,', 'Top=41,', 'Right=1279,', 'Bottom=715']]
30 [['car: 98%', 'Left=212,', 'Top=39,', 'Right=1279,', 'Bottom=717']]
