1 []
2 []
3 [['car: 99%', 'Left=547,', 'Top=296,', 'Right=806,', 'Bottom=499'], ['truck: 94%', 'Left=145,', 'Top=231,', 'Right=474,', 'Bottom=434'], ['car: 84%', 'Left=1,', 'Top=287,', 'Right=125,', 'Bottom=492']]
4 [['car: 99%', 'Left=547,', 'Top=297,', 'Right=805,', 'Bottom=499'], ['truck: 94%', 'Left=145,', 'Top=231,', 'Right=474,', 'Bottom=435'], ['car: 84%', 'Left=1,', 'Top=287,', 'Right=125,', 'Bottom=492']]
5 [['car: 99%', 'Left=546,', 'Top=297,', 'Right=805,', 'Bottom=499'], ['truck: 94%', 'Left=146,', 'Top=231,', 'Right=474,', 'Bottom=435'], ['car: 84%', 'Left=1,', 'Top=287,', 'Right=125,', 'Bottom=492']]
6 [['car: 99%', 'Left=546,', 'Top=296,', 'Right=805,', 'Bottom=499'], ['truck: 94%', 'Left=147,', 'Top=231,', 'Right=474,', 'Bottom=435'], ['car: 84%', 'Left=1,', 'Top=287,', 'Right=125,', 'Bottom=492']]
7 [['car: 99%', 'Left=546,', 'Top=296,', 'Right=806,', 'Bottom=499'], ['truck: 94%', 'Left=147,', 'Top=231,', 'Right=474,', 'Bottom=435'], ['car: 85%', 'Left=1,', 'Top=287,', 'Right=125,', 'Bottom=492']]
8 [['car: 99%', 'Left=545,', 'Top=296,', 'Right=806,', 'Bottom=499'], ['truck: 94%', 'Left=147,', 'Top=230,', 'Right=473,', 'Bottom=436'], ['car: 86%', 'Left=1,', 'Top=288,', 'Right=125,', 'Bottom=492']]
9 [['car: 100%', 'Left=552,', 'Top=309,', 'Right=791,', 'Bottom=474'], ['truck: 95%', 'Left=147,', 'Top=230,', 'Right=474,', 'Bottom=436'], ['car: 87%', 'Left=1,', 'Top=288,', 'Right=125,', 'Bottom=492']]
10 [['car: 99%', 'Left=545,', 'Top=296,', 'Right=806,', 'Bottom=499'], ['truck: 95%', 'Left=146,', 'Top=231,', 'Right=474,', 'Bottom=435'], ['car: 87%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
11 [['car: 99%', 'Left=545,', 'Top=296,', 'Right=806,', 'Bottom=499'], ['truck: 95%', 'Left=146,', 'Top=231,', 'Right=474,', 'Bottom=435'], ['car: 87%', 'Left=1,', 'Top=288,', 'Right=125,', 'Bottom=492']]
12 [['car: 99%', 'Left=545,', 'Top=296,', 'Right=806,', 'Bottom=499'], ['truck: 95%', 'Left=146,', 'Top=232,', 'Right=474,', 'Bottom=435'], ['car: 87%', 'Left=1,', 'Top=288,', 'Right=125,', 'Bottom=492']]
13 [['car: 99%', 'Left=545,', 'Top=295,', 'Right=805,', 'Bottom=499'], ['truck: 95%', 'Left=146,', 'Top=232,', 'Right=473,', 'Bottom=435'], ['car: 87%', 'Left=1,', 'Top=288,', 'Right=125,', 'Bottom=492']]
14 [['car: 100%', 'Left=552,', 'Top=309,', 'Right=790,', 'Bottom=473'], ['truck: 95%', 'Left=145,', 'Top=231,', 'Right=473,', 'Bottom=435'], ['car: 86%', 'Left=1,', 'Top=287,', 'Right=125,', 'Bottom=492']]
15 [['car: 100%', 'Left=552,', 'Top=309,', 'Right=790,', 'Bottom=473'], ['truck: 95%', 'Left=146,', 'Top=230,', 'Right=472,', 'Bottom=435'], ['car: 85%', 'Left=1,', 'Top=287,', 'Right=125,', 'Bottom=492']]
16 [['car: 100%', 'Left=552,', 'Top=309,', 'Right=790,', 'Bottom=474'], ['truck: 95%', 'Left=145,', 'Top=230,', 'Right=472,', 'Bottom=435'], ['car: 85%', 'Left=1,', 'Top=287,', 'Right=125,', 'Bottom=492']]
17 [['car: 100%', 'Left=552,', 'Top=309,', 'Right=790,', 'Bottom=475'], ['truck: 94%', 'Left=146,', 'Top=229,', 'Right=472,', 'Bottom=436'], ['car: 84%', 'Left=1,', 'Top=287,', 'Right=125,', 'Bottom=492']]
18 [['car: 100%', 'Left=552,', 'Top=309,', 'Right=790,', 'Bottom=475'], ['truck: 94%', 'Left=147,', 'Top=230,', 'Right=472,', 'Bottom=436'], ['car: 85%', 'Left=1,', 'Top=287,', 'Right=125,', 'Bottom=492']]
19 [['car: 100%', 'Left=552,', 'Top=309,', 'Right=790,', 'Bottom=475'], ['truck: 94%', 'Left=148,', 'Top=230,', 'Right=472,', 'Bottom=436'], ['car: 85%', 'Left=1,', 'Top=287,', 'Right=125,', 'Bottom=492']]
20 [['car: 100%', 'Left=552,', 'Top=309,', 'Right=791,', 'Bottom=475'], ['truck: 94%', 'Left=148,', 'Top=230,', 'Right=472,', 'Bottom=436'], ['car: 85%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
21 [['car: 100%', 'Left=552,', 'Top=308,', 'Right=791,', 'Bottom=475'], ['truck: 94%', 'Left=148,', 'Top=230,', 'Right=472,', 'Bottom=437'], ['car: 85%', 'Left=1,', 'Top=288,', 'Right=126,', 'Bottom=492']]
22 [['car: 100%', 'Left=552,', 'Top=309,', 'Right=791,', 'Bottom=476'], ['truck: 94%', 'Left=148,', 'Top=229,', 'Right=472,', 'Bottom=437'], ['car: 85%', 'Left=1,', 'Top=287,', 'Right=126,', 'Bottom=492']]
23 [['car: 100%', 'Left=552,', 'Top=309,', 'Right=791,', 'Bottom=476'], ['truck: 94%', 'Left=148,', 'Top=229,', 'Right=471,', 'Bottom=436'], ['car: 84%', 'Left=1,', 'Top=287,', 'Right=125,', 'Bottom=492']]
24 [['car: 100%', 'Left=552,', 'Top=309,', 'Right=790,', 'Bottom=476'], ['truck: 93%', 'Left=148,', 'Top=228,', 'Right=470,', 'Bottom=436'], ['car: 84%', 'Left=1,', 'Top=287,', 'Right=125,', 'Bottom=492']]
25 [['car: 100%', 'Left=551,', 'Top=309,', 'Right=790,', 'Bottom=477'], ['truck: 93%', 'Left=148,', 'Top=228,', 'Right=470,', 'Bottom=436'], ['car: 84%', 'Left=1,', 'Top=287,', 'Right=125,', 'Bottom=492']]
26 [['car: 100%', 'Left=551,', 'Top=309,', 'Right=790,', 'Bottom=477'], ['truck: 92%', 'Left=147,', 'Top=229,', 'Right=469,', 'Bottom=435'], ['car: 84%', 'Left=1,', 'Top=287,', 'Right=125,', 'Bottom=492']]
27 [['car: 100%', 'Left=551,', 'Top=309,', 'Right=790,', 'Bottom=476'], ['truck: 91%', 'Left=147,', 'Top=229,', 'Right=468,', 'Bottom=435'], ['car: 83%', 'Left=1,', 'Top=287,', 'Right=125,', 'Bottom=492']]
28 [['car: 100%', 'Left=551,', 'Top=309,', 'Right=790,', 'Bottom=476'], ['truck: 90%', 'Left=146,', 'Top=230,', 'Right=468,', 'Bottom=434'], ['car: 83%', 'Left=1,', 'Top=288,', 'Right=125,', 'Bottom=492']]
29 [['car: 100%', 'Left=551,', 'Top=309,', 'Right=790,', 'Bottom=476'], ['truck: 91%', 'Left=145,', 'Top=229,', 'Right=469,', 'Bottom=434'], ['car: 82%', 'Left=1,', 'Top=288,', 'Right=125,', 'Bottom=492']]
30 [['car: 100%', 'Left=551,', 'Top=310,', 'Right=791,', 'Bottom=477'], ['truck: 91%', 'Left=144,', 'Top=229,', 'Right=470,', 'Bottom=434'], ['car: 83%', 'Left=1,', 'Top=289,', 'Right=125,', 'Bottom=492']]
31 [['car: 100%', 'Left=551,', 'Top=310,', 'Right=791,', 'Bottom=477'], ['truck: 91%', 'Left=144,', 'Top=229,', 'Right=470,', 'Bottom=434'], ['car: 82%', 'Left=1,', 'Top=289,', 'Right=125,', 'Bottom=492']]
32 [['car: 99%', 'Left=542,', 'Top=297,', 'Right=804,', 'Bottom=499'], ['truck: 91%', 'Left=145,', 'Top=229,', 'Right=470,', 'Bottom=434'], ['car: 82%', 'Left=1,', 'Top=289,', 'Right=125,', 'Bottom=492']]
33 [['car: 99%', 'Left=543,', 'Top=296,', 'Right=804,', 'Bottom=499'], ['truck: 91%', 'Left=146,', 'Top=229,', 'Right=469,', 'Bottom=434'], ['car: 81%', 'Left=1,', 'Top=289,', 'Right=125,', 'Bottom=492']]
34 [['car: 100%', 'Left=551,', 'Top=310,', 'Right=791,', 'Bottom=476'], ['truck: 91%', 'Left=146,', 'Top=228,', 'Right=469,', 'Bottom=434'], ['car: 81%', 'Left=1,', 'Top=289,', 'Right=125,', 'Bottom=492']]
