1 []
2 []
3 [['person: 68%', 'Left=732,', 'Top=228,', 'Right=755,', 'Bottom=270'], ['car: 81%', 'Left=0,', 'Top=488,', 'Right=1251,', 'Bottom=684'], ['person: 64%', 'Left=462,', 'Top=254,', 'Right=483,', 'Bottom=292']]
4 [['person: 67%', 'Left=732,', 'Top=228,', 'Right=755,', 'Bottom=270'], ['car: 81%', 'Left=0,', 'Top=487,', 'Right=1252,', 'Bottom=684'], ['person: 64%', 'Left=462,', 'Top=254,', 'Right=483,', 'Bottom=292']]
5 [['person: 67%', 'Left=732,', 'Top=227,', 'Right=755,', 'Bottom=270'], ['car: 81%', 'Left=0,', 'Top=487,', 'Right=1253,', 'Bottom=684'], ['person: 63%', 'Left=462,', 'Top=254,', 'Right=483,', 'Bottom=292']]
6 [['car: 81%', 'Left=0,', 'Top=487,', 'Right=1253,', 'Bottom=684'], ['person: 67%', 'Left=732,', 'Top=227,', 'Right=754,', 'Bottom=270'], ['person: 62%', 'Left=462,', 'Top=254,', 'Right=483,', 'Bottom=292']]
7 [['car: 82%', 'Left=0,', 'Top=487,', 'Right=1253,', 'Bottom=684'], ['person: 66%', 'Left=731,', 'Top=227,', 'Right=754,', 'Bottom=270'], ['person: 62%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
8 [['car: 82%', 'Left=0,', 'Top=487,', 'Right=1251,', 'Bottom=684'], ['person: 66%', 'Left=731,', 'Top=227,', 'Right=754,', 'Bottom=270'], ['person: 62%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
9 [['car: 82%', 'Left=0,', 'Top=487,', 'Right=1250,', 'Bottom=684'], ['person: 66%', 'Left=731,', 'Top=228,', 'Right=754,', 'Bottom=270'], ['person: 62%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
10 [['car: 82%', 'Left=0,', 'Top=487,', 'Right=1249,', 'Bottom=685'], ['person: 67%', 'Left=731,', 'Top=228,', 'Right=754,', 'Bottom=270'], ['person: 62%', 'Left=462,', 'Top=254,', 'Right=483,', 'Bottom=292']]
11 [['car: 81%', 'Left=0,', 'Top=487,', 'Right=1249,', 'Bottom=685'], ['person: 66%', 'Left=731,', 'Top=227,', 'Right=754,', 'Bottom=270'], ['person: 62%', 'Left=462,', 'Top=254,', 'Right=483,', 'Bottom=292']]
12 [['car: 81%', 'Left=0,', 'Top=487,', 'Right=1248,', 'Bottom=685'], ['person: 66%', 'Left=731,', 'Top=227,', 'Right=754,', 'Bottom=270'], ['person: 61%', 'Left=462,', 'Top=254,', 'Right=483,', 'Bottom=292']]
13 [['car: 82%', 'Left=0,', 'Top=488,', 'Right=1247,', 'Bottom=685'], ['person: 63%', 'Left=731,', 'Top=228,', 'Right=754,', 'Bottom=270'], ['person: 60%', 'Left=462,', 'Top=254,', 'Right=483,', 'Bottom=292']]
14 [['car: 83%', 'Left=0,', 'Top=488,', 'Right=1247,', 'Bottom=685'], ['person: 61%', 'Left=731,', 'Top=229,', 'Right=754,', 'Bottom=270'], ['person: 61%', 'Left=462,', 'Top=254,', 'Right=483,', 'Bottom=292']]
15 [['car: 85%', 'Left=0,', 'Top=488,', 'Right=1248,', 'Bottom=685'], ['person: 58%', 'Left=731,', 'Top=229,', 'Right=754,', 'Bottom=270'], ['person: 62%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
