1 []
2 []
3 [['car: 84%', 'Left=0,', 'Top=488,', 'Right=1251,', 'Bottom=682'], ['person: 68%', 'Left=732,', 'Top=229,', 'Right=754,', 'Bottom=270'], ['person: 52%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=292']]
4 [['car: 84%', 'Left=0,', 'Top=489,', 'Right=1250,', 'Bottom=682'], ['person: 68%', 'Left=732,', 'Top=229,', 'Right=754,', 'Bottom=270'], ['person: 52%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=292']]
5 [['car: 83%', 'Left=0,', 'Top=489,', 'Right=1250,', 'Bottom=682'], ['person: 68%', 'Left=732,', 'Top=229,', 'Right=755,', 'Bottom=270'], ['person: 53%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
6 [['car: 82%', 'Left=0,', 'Top=490,', 'Right=1252,', 'Bottom=682'], ['person: 69%', 'Left=732,', 'Top=229,', 'Right=755,', 'Bottom=270'], ['person: 53%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
7 [['car: 82%', 'Left=0,', 'Top=489,', 'Right=1255,', 'Bottom=682'], ['person: 67%', 'Left=732,', 'Top=229,', 'Right=754,', 'Bottom=270'], ['person: 55%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
8 [['car: 82%', 'Left=0,', 'Top=487,', 'Right=1257,', 'Bottom=682'], ['person: 65%', 'Left=732,', 'Top=230,', 'Right=754,', 'Bottom=270'], ['person: 57%', 'Left=462,', 'Top=255,', 'Right=483,', 'Bottom=292']]
9 [['car: 82%', 'Left=0,', 'Top=486,', 'Right=1258,', 'Bottom=682'], ['person: 63%', 'Left=732,', 'Top=232,', 'Right=754,', 'Bottom=270'], ['person: 59%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=292']]
10 [['car: 81%', 'Left=0,', 'Top=486,', 'Right=1257,', 'Bottom=682'], ['person: 63%', 'Left=733,', 'Top=232,', 'Right=754,', 'Bottom=270'], ['person: 59%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=292']]
11 [['car: 81%', 'Left=0,', 'Top=486,', 'Right=1257,', 'Bottom=682'], ['person: 62%', 'Left=733,', 'Top=232,', 'Right=754,', 'Bottom=270'], ['person: 59%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=292']]
12 [['car: 82%', 'Left=0,', 'Top=486,', 'Right=1256,', 'Bottom=682'], ['person: 62%', 'Left=733,', 'Top=232,', 'Right=754,', 'Bottom=270'], ['person: 58%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=292']]
13 [['car: 82%', 'Left=0,', 'Top=494,', 'Right=1179,', 'Bottom=670'], ['person: 62%', 'Left=733,', 'Top=232,', 'Right=754,', 'Bottom=270'], ['person: 59%', 'Left=461,', 'Top=255,', 'Right=483,', 'Bottom=293']]
