1 []
2 []
3 [['truck: 62%', 'Left=515,', 'Top=440,', 'Right=572,', 'Bottom=494']]
4 [['truck: 66%', 'Left=515,', 'Top=438,', 'Right=572,', 'Bottom=492']]
5 [['truck: 66%', 'Left=515,', 'Top=437,', 'Right=572,', 'Bottom=490']]
6 [['truck: 62%', 'Left=514,', 'Top=437,', 'Right=572,', 'Bottom=488']]
7 [['truck: 54%', 'Left=514,', 'Top=437,', 'Right=572,', 'Bottom=487']]
8 [['truck: 53%', 'Left=514,', 'Top=436,', 'Right=572,', 'Bottom=486']]
9 [['car: 63%', 'Left=514,', 'Top=435,', 'Right=572,', 'Bottom=485']]
10 [['car: 62%', 'Left=514,', 'Top=435,', 'Right=572,', 'Bottom=485']]
11 [['truck: 51%', 'Left=514,', 'Top=434,', 'Right=572,', 'Bottom=485']]
12 [['truck: 57%', 'Left=514,', 'Top=434,', 'Right=572,', 'Bottom=486']]
13 [['truck: 58%', 'Left=514,', 'Top=435,', 'Right=572,', 'Bottom=487']]
14 [['truck: 56%', 'Left=514,', 'Top=436,', 'Right=573,', 'Bottom=489']]
15 [['truck: 62%', 'Left=513,', 'Top=437,', 'Right=573,', 'Bottom=491']]
16 [['truck: 67%', 'Left=513,', 'Top=438,', 'Right=573,', 'Bottom=492']]
17 [['truck: 69%', 'Left=513,', 'Top=438,', 'Right=573,', 'Bottom=492']]
18 [['truck: 66%', 'Left=513,', 'Top=438,', 'Right=573,', 'Bottom=492']]
19 [['truck: 63%', 'Left=513,', 'Top=438,', 'Right=573,', 'Bottom=492']]
20 [['truck: 62%', 'Left=513,', 'Top=438,', 'Right=573,', 'Bottom=492']]
21 [['truck: 60%', 'Left=513,', 'Top=438,', 'Right=574,', 'Bottom=492']]
22 [['truck: 60%', 'Left=513,', 'Top=438,', 'Right=574,', 'Bottom=492']]
23 [['truck: 55%', 'Left=513,', 'Top=438,', 'Right=574,', 'Bottom=493']]
24 [['truck: 56%', 'Left=513,', 'Top=437,', 'Right=574,', 'Bottom=492']]
25 [['truck: 54%', 'Left=514,', 'Top=436,', 'Right=573,', 'Bottom=492']]
26 [['truck: 55%', 'Left=514,', 'Top=437,', 'Right=573,', 'Bottom=492']]
27 [['truck: 61%', 'Left=514,', 'Top=438,', 'Right=574,', 'Bottom=492']]
28 [['truck: 67%', 'Left=515,', 'Top=437,', 'Right=573,', 'Bottom=490']]
29 [['truck: 70%', 'Left=515,', 'Top=437,', 'Right=573,', 'Bottom=488']]
30 [['truck: 65%', 'Left=515,', 'Top=436,', 'Right=573,', 'Bottom=487']]
31 [['truck: 60%', 'Left=515,', 'Top=435,', 'Right=573,', 'Bottom=486']]
32 [['truck: 58%', 'Left=515,', 'Top=434,', 'Right=574,', 'Bottom=486']]
33 [['truck: 58%', 'Left=514,', 'Top=434,', 'Right=573,', 'Bottom=485']]
34 [['truck: 56%', 'Left=514,', 'Top=434,', 'Right=573,', 'Bottom=485']]
35 [['truck: 54%', 'Left=514,', 'Top=434,', 'Right=573,', 'Bottom=485']]
36 [['truck: 53%', 'Left=514,', 'Top=434,', 'Right=573,', 'Bottom=485']]
37 [['truck: 54%', 'Left=514,', 'Top=435,', 'Right=573,', 'Bottom=485']]
38 [['car: 53%', 'Left=513,', 'Top=434,', 'Right=574,', 'Bottom=487']]
39 [['car: 56%', 'Left=514,', 'Top=435,', 'Right=573,', 'Bottom=488']]
40 [['truck: 51%', 'Left=514,', 'Top=434,', 'Right=573,', 'Bottom=489']]
41 [['truck: 63%', 'Left=513,', 'Top=435,', 'Right=574,', 'Bottom=489']]
42 [['truck: 61%', 'Left=513,', 'Top=434,', 'Right=574,', 'Bottom=489']]
43 [['truck: 54%', 'Left=514,', 'Top=434,', 'Right=574,', 'Bottom=489']]
44 [['truck: 52%', 'Left=514,', 'Top=434,', 'Right=574,', 'Bottom=489']]
45 [['truck: 53%', 'Left=513,', 'Top=434,', 'Right=574,', 'Bottom=488']]
46 [['truck: 59%', 'Left=513,', 'Top=434,', 'Right=574,', 'Bottom=488']]
47 [['truck: 61%', 'Left=512,', 'Top=434,', 'Right=575,', 'Bottom=487']]
48 [['truck: 75%', 'Left=516,', 'Top=427,', 'Right=572,', 'Bottom=486']]
49 [['truck: 73%', 'Left=516,', 'Top=427,', 'Right=572,', 'Bottom=485']]
50 [['truck: 68%', 'Left=516,', 'Top=427,', 'Right=572,', 'Bottom=485']]
51 [['truck: 67%', 'Left=516,', 'Top=427,', 'Right=572,', 'Bottom=485']]
52 [['car: 59%', 'Left=512,', 'Top=434,', 'Right=575,', 'Bottom=486']]
53 [['truck: 53%', 'Left=512,', 'Top=434,', 'Right=574,', 'Bottom=486']]
54 [['truck: 52%', 'Left=512,', 'Top=434,', 'Right=574,', 'Bottom=487']]
55 [['truck: 55%', 'Left=513,', 'Top=435,', 'Right=573,', 'Bottom=489']]
56 [['truck: 56%', 'Left=513,', 'Top=436,', 'Right=573,', 'Bottom=491']]
57 [['truck: 57%', 'Left=512,', 'Top=437,', 'Right=574,', 'Bottom=492']]
58 [['truck: 57%', 'Left=512,', 'Top=439,', 'Right=574,', 'Bottom=493']]
59 [['truck: 57%', 'Left=512,', 'Top=439,', 'Right=574,', 'Bottom=494']]
60 [['truck: 53%', 'Left=513,', 'Top=438,', 'Right=574,', 'Bottom=495']]
61 [['car: 72%', 'Left=513,', 'Top=438,', 'Right=574,', 'Bottom=494']]
62 [['car: 67%', 'Left=513,', 'Top=438,', 'Right=574,', 'Bottom=493']]
63 [['truck: 56%', 'Left=513,', 'Top=437,', 'Right=574,', 'Bottom=491']]
64 [['truck: 57%', 'Left=513,', 'Top=435,', 'Right=574,', 'Bottom=489']]
65 [['truck: 53%', 'Left=512,', 'Top=434,', 'Right=574,', 'Bottom=488']]
66 [['car: 60%', 'Left=512,', 'Top=433,', 'Right=574,', 'Bottom=487']]
67 [['car: 66%', 'Left=513,', 'Top=433,', 'Right=574,', 'Bottom=488']]
68 [['car: 75%', 'Left=514,', 'Top=433,', 'Right=574,', 'Bottom=488']]
69 [['car: 72%', 'Left=514,', 'Top=434,', 'Right=574,', 'Bottom=489']]
70 [['car: 63%', 'Left=513,', 'Top=434,', 'Right=573,', 'Bottom=489']]
71 [['truck: 58%', 'Left=512,', 'Top=434,', 'Right=574,', 'Bottom=490']]
72 [['truck: 60%', 'Left=512,', 'Top=433,', 'Right=574,', 'Bottom=490']]
73 [['truck: 60%', 'Left=512,', 'Top=433,', 'Right=574,', 'Bottom=490']]
74 [['truck: 61%', 'Left=512,', 'Top=434,', 'Right=574,', 'Bottom=490']]
75 [['truck: 62%', 'Left=511,', 'Top=434,', 'Right=574,', 'Bottom=490']]
76 [['truck: 61%', 'Left=511,', 'Top=433,', 'Right=574,', 'Bottom=489']]
77 [['truck: 57%', 'Left=511,', 'Top=433,', 'Right=574,', 'Bottom=490']]
78 [['truck: 57%', 'Left=511,', 'Top=432,', 'Right=574,', 'Bottom=490']]
79 [['truck: 53%', 'Left=511,', 'Top=433,', 'Right=575,', 'Bottom=490']]
80 [['truck: 54%', 'Left=511,', 'Top=433,', 'Right=575,', 'Bottom=490']]
81 [['truck: 52%', 'Left=511,', 'Top=434,', 'Right=574,', 'Bottom=491']]
82 [['truck: 66%', 'Left=509,', 'Top=433,', 'Right=570,', 'Bottom=492']]
83 [['truck: 70%', 'Left=510,', 'Top=434,', 'Right=569,', 'Bottom=494']]
84 [['truck: 78%', 'Left=510,', 'Top=435,', 'Right=570,', 'Bottom=497']]
85 [['truck: 82%', 'Left=510,', 'Top=437,', 'Right=570,', 'Bottom=498']]
86 [['truck: 82%', 'Left=510,', 'Top=435,', 'Right=570,', 'Bottom=498']]
87 [['truck: 84%', 'Left=510,', 'Top=433,', 'Right=570,', 'Bottom=497']]
88 [['truck: 78%', 'Left=510,', 'Top=431,', 'Right=569,', 'Bottom=496']]
89 [['truck: 77%', 'Left=510,', 'Top=430,', 'Right=569,', 'Bottom=494']]
90 [['truck: 78%', 'Left=510,', 'Top=429,', 'Right=569,', 'Bottom=492']]
