1 []
2 []
3 [['bus: 66%', 'Left=467,', 'Top=256,', 'Right=611,', 'Bottom=470'], ['truck: 63%', 'Left=0,', 'Top=269,', 'Right=262,', 'Bottom=624']]
4 [['bus: 64%', 'Left=467,', 'Top=256,', 'Right=610,', 'Bottom=470'], ['truck: 57%', 'Left=0,', 'Top=268,', 'Right=268,', 'Bottom=626']]
5 [['bus: 62%', 'Left=467,', 'Top=256,', 'Right=610,', 'Bottom=471'], ['truck: 54%', 'Left=1,', 'Top=267,', 'Right=270,', 'Bottom=627']]
6 [['bus: 65%', 'Left=467,', 'Top=256,', 'Right=610,', 'Bottom=471'], ['truck: 53%', 'Left=9,', 'Top=281,', 'Right=271,', 'Bottom=618']]
7 [['bus: 57%', 'Left=467,', 'Top=256,', 'Right=610,', 'Bottom=471'], ['truck: 52%', 'Left=8,', 'Top=283,', 'Right=274,', 'Bottom=619']]
8 [['truck: 64%', 'Left=9,', 'Top=288,', 'Right=280,', 'Bottom=614']]
9 [['truck: 79%', 'Left=11,', 'Top=294,', 'Right=287,', 'Bottom=611']]
10 [['truck: 82%', 'Left=11,', 'Top=300,', 'Right=294,', 'Bottom=607']]
11 [['truck: 77%', 'Left=12,', 'Top=304,', 'Right=302,', 'Bottom=607']]
12 [['truck: 65%', 'Left=13,', 'Top=305,', 'Right=310,', 'Bottom=607']]
13 [['truck: 59%', 'Left=13,', 'Top=304,', 'Right=318,', 'Bottom=605']]
14 [['bus: 52%', 'Left=467,', 'Top=257,', 'Right=609,', 'Bottom=470'], ['truck: 53%', 'Left=12,', 'Top=303,', 'Right=330,', 'Bottom=601']]
15 [['bus: 53%', 'Left=467,', 'Top=256,', 'Right=610,', 'Bottom=470'], ['truck: 53%', 'Left=11,', 'Top=304,', 'Right=341,', 'Bottom=601']]
16 [['bus: 60%', 'Left=466,', 'Top=255,', 'Right=610,', 'Bottom=471'], ['car: 78%', 'Left=11,', 'Top=305,', 'Right=352,', 'Bottom=600']]
17 [['bus: 63%', 'Left=466,', 'Top=255,', 'Right=611,', 'Bottom=471'], ['car: 81%', 'Left=9,', 'Top=308,', 'Right=359,', 'Bottom=600']]
18 [['bus: 69%', 'Left=466,', 'Top=256,', 'Right=612,', 'Bottom=470'], ['car: 85%', 'Left=9,', 'Top=311,', 'Right=365,', 'Bottom=595']]
19 [['bus: 72%', 'Left=465,', 'Top=257,', 'Right=614,', 'Bottom=470'], ['car: 91%', 'Left=16,', 'Top=315,', 'Right=394,', 'Bottom=592']]
20 [['bus: 72%', 'Left=471,', 'Top=251,', 'Right=619,', 'Bottom=477'], ['car: 93%', 'Left=25,', 'Top=315,', 'Right=395,', 'Bottom=588']]
21 [['bus: 72%', 'Left=473,', 'Top=252,', 'Right=619,', 'Bottom=476'], ['car: 95%', 'Left=32,', 'Top=313,', 'Right=400,', 'Bottom=586']]
