1 []
2 []
3 [['car: 100%', 'Left=412,', 'Top=374,', 'Right=698,', 'Bottom=597'], ['car: 100%', 'Left=804,', 'Top=379,', 'Right=980,', 'Bottom=491'], ['truck: 95%', 'Left=7,', 'Top=289,', 'Right=446,', 'Bottom=608'], ['car: 69%', 'Left=722,', 'Top=384,', 'Right=760,', 'Bottom=426'], ['truck: 50%', 'Left=322,', 'Top=311,', 'Right=498,', 'Bottom=400']]
4 [['car: 100%', 'Left=413,', 'Top=374,', 'Right=697,', 'Bottom=598'], ['car: 100%', 'Left=804,', 'Top=379,', 'Right=979,', 'Bottom=491'], ['truck: 95%', 'Left=7,', 'Top=289,', 'Right=446,', 'Bottom=608'], ['car: 65%', 'Left=722,', 'Top=383,', 'Right=760,', 'Bottom=425'], ['truck: 59%', 'Left=320,', 'Top=311,', 'Right=500,', 'Bottom=400']]
5 [['car: 100%', 'Left=414,', 'Top=373,', 'Right=696,', 'Bottom=598'], ['car: 100%', 'Left=805,', 'Top=379,', 'Right=978,', 'Bottom=491'], ['truck: 95%', 'Left=8,', 'Top=289,', 'Right=445,', 'Bottom=608'], ['car: 61%', 'Left=722,', 'Top=383,', 'Right=760,', 'Bottom=425'], ['truck: 64%', 'Left=318,', 'Top=311,', 'Right=500,', 'Bottom=400']]
6 [['car: 100%', 'Left=415,', 'Top=372,', 'Right=695,', 'Bottom=599'], ['car: 99%', 'Left=805,', 'Top=378,', 'Right=978,', 'Bottom=491'], ['truck: 95%', 'Left=8,', 'Top=290,', 'Right=444,', 'Bottom=607'], ['truck: 68%', 'Left=316,', 'Top=311,', 'Right=499,', 'Bottom=400'], ['car: 57%', 'Left=722,', 'Top=383,', 'Right=760,', 'Bottom=425']]
7 [['car: 100%', 'Left=415,', 'Top=372,', 'Right=695,', 'Bottom=598'], ['car: 99%', 'Left=805,', 'Top=378,', 'Right=978,', 'Bottom=491'], ['truck: 94%', 'Left=8,', 'Top=291,', 'Right=442,', 'Bottom=607'], ['truck: 68%', 'Left=314,', 'Top=312,', 'Right=500,', 'Bottom=400'], ['car: 57%', 'Left=722,', 'Top=383,', 'Right=760,', 'Bottom=425']]
8 [['car: 100%', 'Left=416,', 'Top=372,', 'Right=695,', 'Bottom=598'], ['car: 99%', 'Left=805,', 'Top=379,', 'Right=978,', 'Bottom=491'], ['truck: 94%', 'Left=8,', 'Top=292,', 'Right=441,', 'Bottom=606'], ['car: 58%', 'Left=721,', 'Top=383,', 'Right=760,', 'Bottom=425'], ['truck: 66%', 'Left=312,', 'Top=312,', 'Right=501,', 'Bottom=400']]
9 [['car: 100%', 'Left=417,', 'Top=372,', 'Right=695,', 'Bottom=598'], ['car: 100%', 'Left=805,', 'Top=379,', 'Right=978,', 'Bottom=491'], ['truck: 94%', 'Left=7,', 'Top=292,', 'Right=441,', 'Bottom=606'], ['car: 59%', 'Left=721,', 'Top=383,', 'Right=760,', 'Bottom=425'], ['truck: 61%', 'Left=310,', 'Top=312,', 'Right=503,', 'Bottom=399']]
10 [['car: 100%', 'Left=417,', 'Top=372,', 'Right=695,', 'Bottom=598'], ['car: 100%', 'Left=805,', 'Top=379,', 'Right=978,', 'Bottom=491'], ['truck: 95%', 'Left=7,', 'Top=292,', 'Right=441,', 'Bottom=607'], ['car: 58%', 'Left=721,', 'Top=383,', 'Right=760,', 'Bottom=425'], ['truck: 55%', 'Left=310,', 'Top=312,', 'Right=503,', 'Bottom=399']]
11 [['car: 100%', 'Left=418,', 'Top=372,', 'Right=694,', 'Bottom=598'], ['car: 100%', 'Left=805,', 'Top=379,', 'Right=978,', 'Bottom=491'], ['truck: 96%', 'Left=8,', 'Top=292,', 'Right=442,', 'Bottom=607'], ['car: 58%', 'Left=721,', 'Top=383,', 'Right=760,', 'Bottom=425'], ['truck: 50%', 'Left=310,', 'Top=311,', 'Right=503,', 'Bottom=399']]
12 [['car: 100%', 'Left=417,', 'Top=372,', 'Right=695,', 'Bottom=598'], ['car: 100%', 'Left=805,', 'Top=379,', 'Right=978,', 'Bottom=491'], ['truck: 96%', 'Left=8,', 'Top=292,', 'Right=442,', 'Bottom=607'], ['car: 59%', 'Left=721,', 'Top=383,', 'Right=760,', 'Bottom=425']]
13 [['car: 100%', 'Left=415,', 'Top=373,', 'Right=695,', 'Bottom=598'], ['car: 100%', 'Left=805,', 'Top=379,', 'Right=978,', 'Bottom=491'], ['truck: 96%', 'Left=9,', 'Top=291,', 'Right=443,', 'Bottom=607'], ['car: 61%', 'Left=721,', 'Top=383,', 'Right=760,', 'Bottom=425']]
14 [['car: 100%', 'Left=415,', 'Top=373,', 'Right=695,', 'Bottom=597'], ['car: 100%', 'Left=805,', 'Top=379,', 'Right=978,', 'Bottom=491'], ['truck: 96%', 'Left=10,', 'Top=290,', 'Right=445,', 'Bottom=607'], ['car: 62%', 'Left=721,', 'Top=383,', 'Right=760,', 'Bottom=425']]
15 [['car: 100%', 'Left=415,', 'Top=373,', 'Right=695,', 'Bottom=598'], ['car: 100%', 'Left=805,', 'Top=379,', 'Right=979,', 'Bottom=491'], ['truck: 96%', 'Left=9,', 'Top=288,', 'Right=444,', 'Bottom=606'], ['car: 62%', 'Left=721,', 'Top=383,', 'Right=760,', 'Bottom=425']]
16 [['car: 100%', 'Left=415,', 'Top=373,', 'Right=695,', 'Bottom=598'], ['car: 100%', 'Left=805,', 'Top=379,', 'Right=979,', 'Bottom=491'], ['truck: 96%', 'Left=7,', 'Top=289,', 'Right=444,', 'Bottom=607'], ['car: 63%', 'Left=722,', 'Top=383,', 'Right=760,', 'Bottom=425']]
17 [['car: 100%', 'Left=415,', 'Top=373,', 'Right=696,', 'Bottom=598'], ['car: 100%', 'Left=805,', 'Top=380,', 'Right=979,', 'Bottom=491'], ['truck: 96%', 'Left=6,', 'Top=289,', 'Right=442,', 'Bottom=607'], ['car: 63%', 'Left=722,', 'Top=383,', 'Right=760,', 'Bottom=425']]
18 [['car: 100%', 'Left=415,', 'Top=372,', 'Right=695,', 'Bottom=598'], ['car: 100%', 'Left=805,', 'Top=380,', 'Right=979,', 'Bottom=491'], ['truck: 97%', 'Left=6,', 'Top=287,', 'Right=441,', 'Bottom=608'], ['car: 62%', 'Left=722,', 'Top=383,', 'Right=760,', 'Bottom=425']]
19 [['car: 100%', 'Left=414,', 'Top=372,', 'Right=695,', 'Bottom=598'], ['car: 100%', 'Left=805,', 'Top=380,', 'Right=979,', 'Bottom=491'], ['truck: 97%', 'Left=7,', 'Top=282,', 'Right=441,', 'Bottom=608'], ['car: 61%', 'Left=722,', 'Top=384,', 'Right=760,', 'Bottom=425']]
20 [['car: 100%', 'Left=414,', 'Top=371,', 'Right=695,', 'Bottom=598'], ['car: 100%', 'Left=805,', 'Top=380,', 'Right=979,', 'Bottom=491'], ['truck: 97%', 'Left=8,', 'Top=279,', 'Right=442,', 'Bottom=609'], ['car: 60%', 'Left=722,', 'Top=384,', 'Right=759,', 'Bottom=425']]
21 [['car: 100%', 'Left=414,', 'Top=371,', 'Right=695,', 'Bottom=597'], ['car: 100%', 'Left=805,', 'Top=379,', 'Right=978,', 'Bottom=491'], ['truck: 97%', 'Left=10,', 'Top=278,', 'Right=443,', 'Bottom=609'], ['car: 59%', 'Left=722,', 'Top=384,', 'Right=759,', 'Bottom=424']]
22 [['car: 100%', 'Left=414,', 'Top=371,', 'Right=695,', 'Bottom=598'], ['car: 100%', 'Left=805,', 'Top=380,', 'Right=978,', 'Bottom=491'], ['truck: 97%', 'Left=9,', 'Top=280,', 'Right=445,', 'Bottom=610'], ['car: 57%', 'Left=723,', 'Top=385,', 'Right=759,', 'Bottom=424']]
23 [['car: 100%', 'Left=415,', 'Top=371,', 'Right=694,', 'Bottom=598'], ['car: 100%', 'Left=806,', 'Top=380,', 'Right=978,', 'Bottom=491'], ['truck: 97%', 'Left=7,', 'Top=283,', 'Right=445,', 'Bottom=609'], ['car: 54%', 'Left=723,', 'Top=385,', 'Right=759,', 'Bottom=424']]
24 [['car: 100%', 'Left=415,', 'Top=371,', 'Right=694,', 'Bottom=597'], ['car: 100%', 'Left=806,', 'Top=380,', 'Right=978,', 'Bottom=491'], ['truck: 97%', 'Left=6,', 'Top=286,', 'Right=443,', 'Bottom=609'], ['car: 53%', 'Left=723,', 'Top=385,', 'Right=759,', 'Bottom=424']]
