1 []
2 []
3 [['car: 99%', 'Left=458,', 'Top=269,', 'Right=892,', 'Bottom=584'], ['car: 99%', 'Left=159,', 'Top=356,', 'Right=478,', 'Bottom=556']]
4 [['car: 99%', 'Left=457,', 'Top=269,', 'Right=893,', 'Bottom=585'], ['car: 99%', 'Left=158,', 'Top=356,', 'Right=478,', 'Bottom=557']]
5 [['car: 99%', 'Left=457,', 'Top=269,', 'Right=892,', 'Bottom=585'], ['car: 99%', 'Left=157,', 'Top=355,', 'Right=476,', 'Bottom=556']]
6 [['car: 99%', 'Left=457,', 'Top=269,', 'Right=891,', 'Bottom=585'], ['car: 99%', 'Left=158,', 'Top=355,', 'Right=475,', 'Bottom=558']]
7 [['car: 99%', 'Left=457,', 'Top=269,', 'Right=892,', 'Bottom=585'], ['car: 99%', 'Left=158,', 'Top=354,', 'Right=475,', 'Bottom=558']]
8 [['car: 99%', 'Left=457,', 'Top=269,', 'Right=892,', 'Bottom=585'], ['car: 99%', 'Left=159,', 'Top=354,', 'Right=475,', 'Bottom=558']]
9 [['car: 99%', 'Left=457,', 'Top=268,', 'Right=893,', 'Bottom=585'], ['car: 99%', 'Left=157,', 'Top=353,', 'Right=476,', 'Bottom=557']]
10 [['car: 99%', 'Left=457,', 'Top=268,', 'Right=893,', 'Bottom=585'], ['car: 99%', 'Left=157,', 'Top=353,', 'Right=476,', 'Bottom=556']]
11 [['car: 99%', 'Left=457,', 'Top=268,', 'Right=893,', 'Bottom=585'], ['car: 99%', 'Left=159,', 'Top=352,', 'Right=475,', 'Bottom=557']]
12 [['car: 99%', 'Left=457,', 'Top=268,', 'Right=893,', 'Bottom=585'], ['car: 99%', 'Left=159,', 'Top=351,', 'Right=474,', 'Bottom=556']]
13 [['car: 99%', 'Left=457,', 'Top=267,', 'Right=894,', 'Bottom=585'], ['car: 100%', 'Left=157,', 'Top=351,', 'Right=472,', 'Bottom=557']]
14 [['car: 99%', 'Left=456,', 'Top=267,', 'Right=894,', 'Bottom=585'], ['car: 99%', 'Left=156,', 'Top=350,', 'Right=472,', 'Bottom=557']]
15 [['car: 99%', 'Left=456,', 'Top=267,', 'Right=895,', 'Bottom=585'], ['car: 99%', 'Left=153,', 'Top=351,', 'Right=474,', 'Bottom=559']]
16 [['car: 99%', 'Left=456,', 'Top=268,', 'Right=895,', 'Bottom=584'], ['car: 99%', 'Left=146,', 'Top=351,', 'Right=477,', 'Bottom=559']]
17 [['car: 99%', 'Left=456,', 'Top=268,', 'Right=895,', 'Bottom=583'], ['car: 99%', 'Left=137,', 'Top=352,', 'Right=479,', 'Bottom=559']]
18 [['car: 99%', 'Left=457,', 'Top=268,', 'Right=895,', 'Bottom=583'], ['car: 98%', 'Left=137,', 'Top=352,', 'Right=479,', 'Bottom=558']]
19 [['car: 99%', 'Left=458,', 'Top=267,', 'Right=894,', 'Bottom=584'], ['car: 97%', 'Left=142,', 'Top=353,', 'Right=477,', 'Bottom=557']]
20 [['car: 99%', 'Left=458,', 'Top=267,', 'Right=894,', 'Bottom=584'], ['car: 97%', 'Left=150,', 'Top=352,', 'Right=477,', 'Bottom=557']]
21 [['car: 99%', 'Left=458,', 'Top=267,', 'Right=894,', 'Bottom=584'], ['car: 98%', 'Left=152,', 'Top=350,', 'Right=477,', 'Bottom=556']]
22 [['car: 99%', 'Left=458,', 'Top=267,', 'Right=894,', 'Bottom=585'], ['car: 99%', 'Left=152,', 'Top=350,', 'Right=478,', 'Bottom=557']]
23 [['car: 99%', 'Left=458,', 'Top=266,', 'Right=893,', 'Bottom=586'], ['car: 99%', 'Left=150,', 'Top=350,', 'Right=477,', 'Bottom=556']]
24 [['car: 99%', 'Left=458,', 'Top=267,', 'Right=893,', 'Bottom=587'], ['car: 99%', 'Left=151,', 'Top=352,', 'Right=477,', 'Bottom=556']]
25 [['car: 99%', 'Left=457,', 'Top=267,', 'Right=893,', 'Bottom=587'], ['car: 99%', 'Left=153,', 'Top=352,', 'Right=476,', 'Bottom=555']]
26 [['car: 99%', 'Left=457,', 'Top=267,', 'Right=894,', 'Bottom=588'], ['car: 100%', 'Left=153,', 'Top=353,', 'Right=477,', 'Bottom=554']]
27 [['car: 99%', 'Left=457,', 'Top=267,', 'Right=894,', 'Bottom=588'], ['car: 100%', 'Left=153,', 'Top=353,', 'Right=478,', 'Bottom=553']]
28 [['car: 99%', 'Left=457,', 'Top=266,', 'Right=895,', 'Bottom=588'], ['car: 100%', 'Left=153,', 'Top=353,', 'Right=478,', 'Bottom=553']]
29 [['car: 99%', 'Left=456,', 'Top=267,', 'Right=895,', 'Bottom=588'], ['car: 100%', 'Left=153,', 'Top=353,', 'Right=479,', 'Bottom=553']]
30 [['car: 99%', 'Left=456,', 'Top=267,', 'Right=895,', 'Bottom=587'], ['car: 100%', 'Left=153,', 'Top=354,', 'Right=480,', 'Bottom=553']]
31 [['car: 99%', 'Left=456,', 'Top=268,', 'Right=895,', 'Bottom=586'], ['car: 99%', 'Left=153,', 'Top=354,', 'Right=482,', 'Bottom=554']]
32 [['car: 99%', 'Left=457,', 'Top=269,', 'Right=895,', 'Bottom=585'], ['car: 99%', 'Left=153,', 'Top=354,', 'Right=483,', 'Bottom=554']]
33 [['car: 99%', 'Left=457,', 'Top=269,', 'Right=895,', 'Bottom=585'], ['car: 99%', 'Left=154,', 'Top=355,', 'Right=483,', 'Bottom=556']]
34 [['car: 99%', 'Left=457,', 'Top=269,', 'Right=895,', 'Bottom=585'], ['car: 99%', 'Left=155,', 'Top=355,', 'Right=483,', 'Bottom=557']]
35 [['car: 99%', 'Left=457,', 'Top=268,', 'Right=895,', 'Bottom=585'], ['car: 99%', 'Left=155,', 'Top=354,', 'Right=483,', 'Bottom=557']]
36 [['car: 99%', 'Left=457,', 'Top=268,', 'Right=896,', 'Bottom=585'], ['car: 99%', 'Left=155,', 'Top=353,', 'Right=483,', 'Bottom=556']]
37 [['car: 99%', 'Left=456,', 'Top=267,', 'Right=896,', 'Bottom=585'], ['car: 99%', 'Left=156,', 'Top=353,', 'Right=481,', 'Bottom=556']]
38 [['car: 99%', 'Left=457,', 'Top=267,', 'Right=896,', 'Bottom=586'], ['car: 99%', 'Left=156,', 'Top=352,', 'Right=478,', 'Bottom=556']]
39 [['car: 99%', 'Left=457,', 'Top=267,', 'Right=895,', 'Bottom=587'], ['car: 99%', 'Left=156,', 'Top=352,', 'Right=476,', 'Bottom=556']]
40 [['car: 100%', 'Left=457,', 'Top=267,', 'Right=895,', 'Bottom=587'], ['car: 100%', 'Left=155,', 'Top=352,', 'Right=475,', 'Bottom=555']]
41 [['car: 100%', 'Left=456,', 'Top=267,', 'Right=895,', 'Bottom=588'], ['car: 100%', 'Left=155,', 'Top=353,', 'Right=476,', 'Bottom=556']]
42 [['car: 100%', 'Left=456,', 'Top=267,', 'Right=895,', 'Bottom=588'], ['car: 100%', 'Left=155,', 'Top=353,', 'Right=475,', 'Bottom=556']]
43 [['car: 99%', 'Left=456,', 'Top=267,', 'Right=895,', 'Bottom=588'], ['car: 100%', 'Left=155,', 'Top=353,', 'Right=475,', 'Bottom=557']]
44 [['car: 99%', 'Left=457,', 'Top=266,', 'Right=893,', 'Bottom=589'], ['car: 100%', 'Left=155,', 'Top=353,', 'Right=474,', 'Bottom=556']]
45 [['car: 99%', 'Left=458,', 'Top=266,', 'Right=892,', 'Bottom=589'], ['car: 100%', 'Left=154,', 'Top=354,', 'Right=474,', 'Bottom=555']]
46 [['car: 99%', 'Left=459,', 'Top=266,', 'Right=891,', 'Bottom=589'], ['car: 100%', 'Left=154,', 'Top=354,', 'Right=475,', 'Bottom=555']]
47 [['car: 99%', 'Left=459,', 'Top=266,', 'Right=891,', 'Bottom=588'], ['car: 100%', 'Left=154,', 'Top=355,', 'Right=478,', 'Bottom=555']]
48 [['car: 99%', 'Left=459,', 'Top=265,', 'Right=892,', 'Bottom=587'], ['car: 100%', 'Left=154,', 'Top=355,', 'Right=481,', 'Bottom=556']]
49 [['car: 99%', 'Left=459,', 'Top=266,', 'Right=892,', 'Bottom=587'], ['car: 99%', 'Left=154,', 'Top=356,', 'Right=483,', 'Bottom=556']]
50 [['car: 99%', 'Left=459,', 'Top=266,', 'Right=893,', 'Bottom=586'], ['car: 99%', 'Left=155,', 'Top=356,', 'Right=483,', 'Bottom=557']]
51 [['car: 99%', 'Left=458,', 'Top=266,', 'Right=893,', 'Bottom=586'], ['car: 99%', 'Left=155,', 'Top=355,', 'Right=483,', 'Bottom=556']]
52 [['car: 99%', 'Left=458,', 'Top=266,', 'Right=893,', 'Bottom=586'], ['car: 99%', 'Left=156,', 'Top=354,', 'Right=484,', 'Bottom=556']]
53 [['car: 99%', 'Left=457,', 'Top=267,', 'Right=894,', 'Bottom=586'], ['car: 99%', 'Left=156,', 'Top=354,', 'Right=482,', 'Bottom=556']]
54 [['car: 99%', 'Left=456,', 'Top=268,', 'Right=895,', 'Bottom=586'], ['car: 100%', 'Left=155,', 'Top=354,', 'Right=482,', 'Bottom=556']]
55 [['car: 99%', 'Left=456,', 'Top=268,', 'Right=895,', 'Bottom=586'], ['car: 100%', 'Left=154,', 'Top=355,', 'Right=481,', 'Bottom=556']]
56 [['car: 99%', 'Left=456,', 'Top=268,', 'Right=895,', 'Bottom=586'], ['car: 100%', 'Left=153,', 'Top=355,', 'Right=482,', 'Bottom=557']]
57 [['car: 99%', 'Left=456,', 'Top=268,', 'Right=895,', 'Bottom=587'], ['car: 100%', 'Left=154,', 'Top=355,', 'Right=480,', 'Bottom=557']]
58 [['car: 99%', 'Left=456,', 'Top=268,', 'Right=894,', 'Bottom=587'], ['car: 100%', 'Left=154,', 'Top=355,', 'Right=479,', 'Bottom=558']]
59 [['car: 99%', 'Left=456,', 'Top=267,', 'Right=895,', 'Bottom=588'], ['car: 100%', 'Left=155,', 'Top=355,', 'Right=478,', 'Bottom=558']]
60 [['car: 99%', 'Left=456,', 'Top=267,', 'Right=895,', 'Bottom=588'], ['car: 100%', 'Left=155,', 'Top=356,', 'Right=477,', 'Bottom=557']]
61 [['car: 99%', 'Left=455,', 'Top=266,', 'Right=896,', 'Bottom=588'], ['car: 100%', 'Left=155,', 'Top=356,', 'Right=477,', 'Bottom=556']]
62 [['car: 99%', 'Left=454,', 'Top=266,', 'Right=897,', 'Bottom=588'], ['car: 100%', 'Left=154,', 'Top=356,', 'Right=477,', 'Bottom=555']]
63 [['car: 99%', 'Left=454,', 'Top=265,', 'Right=898,', 'Bottom=587'], ['car: 100%', 'Left=154,', 'Top=356,', 'Right=478,', 'Bottom=555']]
64 [['car: 99%', 'Left=454,', 'Top=265,', 'Right=899,', 'Bottom=587'], ['car: 100%', 'Left=154,', 'Top=356,', 'Right=479,', 'Bottom=555']]
65 [['car: 100%', 'Left=466,', 'Top=261,', 'Right=928,', 'Bottom=588'], ['car: 100%', 'Left=155,', 'Top=356,', 'Right=482,', 'Bottom=556']]
66 [['car: 100%', 'Left=466,', 'Top=261,', 'Right=928,', 'Bottom=588'], ['car: 100%', 'Left=156,', 'Top=355,', 'Right=485,', 'Bottom=556']]
67 [['car: 100%', 'Left=466,', 'Top=261,', 'Right=928,', 'Bottom=588'], ['car: 100%', 'Left=157,', 'Top=354,', 'Right=487,', 'Bottom=555']]
68 [['car: 100%', 'Left=466,', 'Top=261,', 'Right=928,', 'Bottom=588'], ['car: 100%', 'Left=157,', 'Top=353,', 'Right=487,', 'Bottom=555']]
69 [['car: 100%', 'Left=466,', 'Top=261,', 'Right=928,', 'Bottom=588'], ['car: 100%', 'Left=155,', 'Top=352,', 'Right=484,', 'Bottom=554']]
70 [['car: 100%', 'Left=466,', 'Top=262,', 'Right=928,', 'Bottom=588'], ['car: 100%', 'Left=153,', 'Top=352,', 'Right=481,', 'Bottom=554']]
71 [['car: 100%', 'Left=465,', 'Top=262,', 'Right=928,', 'Bottom=589'], ['car: 100%', 'Left=150,', 'Top=351,', 'Right=477,', 'Bottom=553']]
72 [['car: 100%', 'Left=145,', 'Top=350,', 'Right=476,', 'Bottom=552'], ['car: 100%', 'Left=465,', 'Top=263,', 'Right=928,', 'Bottom=589']]
73 [['car: 99%', 'Left=455,', 'Top=266,', 'Right=899,', 'Bottom=587'], ['car: 100%', 'Left=141,', 'Top=349,', 'Right=475,', 'Bottom=552']]
74 [['car: 99%', 'Left=455,', 'Top=265,', 'Right=898,', 'Bottom=587'], ['car: 100%', 'Left=139,', 'Top=349,', 'Right=473,', 'Bottom=553']]
75 [['car: 99%', 'Left=455,', 'Top=265,', 'Right=898,', 'Bottom=587'], ['car: 99%', 'Left=142,', 'Top=349,', 'Right=472,', 'Bottom=554']]
76 [['car: 99%', 'Left=455,', 'Top=265,', 'Right=898,', 'Bottom=587'], ['car: 99%', 'Left=152,', 'Top=349,', 'Right=471,', 'Bottom=556']]
77 [['car: 99%', 'Left=454,', 'Top=265,', 'Right=898,', 'Bottom=587'], ['car: 99%', 'Left=158,', 'Top=350,', 'Right=471,', 'Bottom=556']]
78 [['car: 99%', 'Left=454,', 'Top=265,', 'Right=898,', 'Bottom=587'], ['car: 99%', 'Left=160,', 'Top=350,', 'Right=473,', 'Bottom=557']]
79 [['car: 99%', 'Left=454,', 'Top=265,', 'Right=898,', 'Bottom=586'], ['car: 99%', 'Left=157,', 'Top=351,', 'Right=476,', 'Bottom=558']]
80 [['car: 99%', 'Left=454,', 'Top=265,', 'Right=897,', 'Bottom=586'], ['car: 99%', 'Left=156,', 'Top=352,', 'Right=476,', 'Bottom=559']]
81 [['car: 99%', 'Left=454,', 'Top=265,', 'Right=897,', 'Bottom=586'], ['car: 99%', 'Left=157,', 'Top=352,', 'Right=476,', 'Bottom=558']]
82 [['car: 99%', 'Left=455,', 'Top=265,', 'Right=897,', 'Bottom=585'], ['car: 99%', 'Left=157,', 'Top=353,', 'Right=477,', 'Bottom=557']]
