1 []
2 []
3 [['car: 91%', 'Left=404,', 'Top=353,', 'Right=453,', 'Bottom=376'], ['car: 81%', 'Left=43,', 'Top=350,', 'Right=83,', 'Bottom=374'], ['car: 74%', 'Left=319,', 'Top=348,', 'Right=396,', 'Bottom=379'], ['car: 73%', 'Left=156,', 'Top=351,', 'Right=208,', 'Bottom=377'], ['car: 56%', 'Left=606,', 'Top=350,', 'Right=654,', 'Bottom=379']]
4 [['car: 91%', 'Left=404,', 'Top=353,', 'Right=452,', 'Bottom=376'], ['car: 81%', 'Left=43,', 'Top=351,', 'Right=83,', 'Bottom=374'], ['car: 76%', 'Left=319,', 'Top=348,', 'Right=396,', 'Bottom=380'], ['car: 71%', 'Left=157,', 'Top=351,', 'Right=208,', 'Bottom=377'], ['car: 55%', 'Left=606,', 'Top=350,', 'Right=654,', 'Bottom=379']]
5 [['car: 92%', 'Left=404,', 'Top=353,', 'Right=452,', 'Bottom=376'], ['car: 81%', 'Left=43,', 'Top=351,', 'Right=83,', 'Bottom=374'], ['car: 75%', 'Left=319,', 'Top=348,', 'Right=396,', 'Bottom=379'], ['car: 70%', 'Left=158,', 'Top=351,', 'Right=208,', 'Bottom=377'], ['car: 53%', 'Left=606,', 'Top=350,', 'Right=655,', 'Bottom=379']]
6 [['car: 91%', 'Left=404,', 'Top=353,', 'Right=452,', 'Bottom=376'], ['car: 79%', 'Left=44,', 'Top=351,', 'Right=83,', 'Bottom=374'], ['car: 76%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=379'], ['car: 70%', 'Left=157,', 'Top=351,', 'Right=208,', 'Bottom=377'], ['car: 53%', 'Left=605,', 'Top=350,', 'Right=655,', 'Bottom=379']]
7 [['car: 91%', 'Left=403,', 'Top=353,', 'Right=452,', 'Bottom=376'], ['car: 78%', 'Left=44,', 'Top=351,', 'Right=83,', 'Bottom=374'], ['car: 75%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=379'], ['car: 71%', 'Left=157,', 'Top=351,', 'Right=208,', 'Bottom=377'], ['car: 54%', 'Left=605,', 'Top=350,', 'Right=655,', 'Bottom=379']]
8 [['car: 90%', 'Left=403,', 'Top=353,', 'Right=452,', 'Bottom=376'], ['car: 76%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=379'], ['car: 77%', 'Left=44,', 'Top=351,', 'Right=83,', 'Bottom=374'], ['car: 71%', 'Left=158,', 'Top=351,', 'Right=208,', 'Bottom=377'], ['car: 54%', 'Left=604,', 'Top=351,', 'Right=655,', 'Bottom=379']]
9 [['car: 90%', 'Left=403,', 'Top=353,', 'Right=452,', 'Bottom=376'], ['car: 76%', 'Left=319,', 'Top=348,', 'Right=394,', 'Bottom=379'], ['car: 76%', 'Left=44,', 'Top=351,', 'Right=83,', 'Bottom=374'], ['car: 71%', 'Left=158,', 'Top=351,', 'Right=208,', 'Bottom=377'], ['car: 54%', 'Left=604,', 'Top=351,', 'Right=655,', 'Bottom=379']]
10 [['car: 90%', 'Left=403,', 'Top=353,', 'Right=453,', 'Bottom=377'], ['car: 75%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=379'], ['car: 74%', 'Left=44,', 'Top=351,', 'Right=83,', 'Bottom=374'], ['car: 73%', 'Left=157,', 'Top=351,', 'Right=208,', 'Bottom=377'], ['car: 53%', 'Left=604,', 'Top=351,', 'Right=654,', 'Bottom=379']]
11 [['car: 91%', 'Left=403,', 'Top=353,', 'Right=453,', 'Bottom=377'], ['car: 75%', 'Left=157,', 'Top=351,', 'Right=208,', 'Bottom=377'], ['car: 73%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=379'], ['car: 71%', 'Left=44,', 'Top=351,', 'Right=83,', 'Bottom=374'], ['car: 53%', 'Left=605,', 'Top=350,', 'Right=654,', 'Bottom=379']]
12 [['car: 91%', 'Left=403,', 'Top=354,', 'Right=453,', 'Bottom=377'], ['car: 77%', 'Left=156,', 'Top=351,', 'Right=209,', 'Bottom=377'], ['car: 70%', 'Left=324,', 'Top=349,', 'Right=427,', 'Bottom=378'], ['car: 70%', 'Left=44,', 'Top=351,', 'Right=83,', 'Bottom=374'], ['car: 51%', 'Left=605,', 'Top=350,', 'Right=654,', 'Bottom=380']]
13 [['car: 91%', 'Left=403,', 'Top=354,', 'Right=453,', 'Bottom=377'], ['car: 72%', 'Left=324,', 'Top=349,', 'Right=428,', 'Bottom=378'], ['car: 77%', 'Left=156,', 'Top=351,', 'Right=209,', 'Bottom=377'], ['car: 71%', 'Left=44,', 'Top=351,', 'Right=83,', 'Bottom=374'], ['car: 51%', 'Left=605,', 'Top=350,', 'Right=654,', 'Bottom=380']]
14 [['car: 91%', 'Left=403,', 'Top=354,', 'Right=453,', 'Bottom=377'], ['car: 77%', 'Left=156,', 'Top=351,', 'Right=209,', 'Bottom=377'], ['car: 75%', 'Left=44,', 'Top=351,', 'Right=83,', 'Bottom=374'], ['car: 70%', 'Left=324,', 'Top=349,', 'Right=427,', 'Bottom=377'], ['car: 52%', 'Left=605,', 'Top=350,', 'Right=654,', 'Bottom=380']]
15 [['car: 91%', 'Left=404,', 'Top=354,', 'Right=453,', 'Bottom=376'], ['car: 78%', 'Left=44,', 'Top=351,', 'Right=83,', 'Bottom=374'], ['car: 77%', 'Left=157,', 'Top=351,', 'Right=208,', 'Bottom=377'], ['car: 75%', 'Left=318,', 'Top=348,', 'Right=395,', 'Bottom=379'], ['car: 54%', 'Left=605,', 'Top=350,', 'Right=654,', 'Bottom=380']]
16 [['car: 92%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=376'], ['car: 80%', 'Left=43,', 'Top=351,', 'Right=83,', 'Bottom=374'], ['car: 78%', 'Left=318,', 'Top=348,', 'Right=395,', 'Bottom=379'], ['car: 77%', 'Left=157,', 'Top=351,', 'Right=208,', 'Bottom=377'], ['car: 55%', 'Left=605,', 'Top=350,', 'Right=654,', 'Bottom=380']]
17 [['car: 91%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=376'], ['car: 80%', 'Left=44,', 'Top=351,', 'Right=83,', 'Bottom=374'], ['car: 75%', 'Left=318,', 'Top=348,', 'Right=395,', 'Bottom=379'], ['car: 75%', 'Left=157,', 'Top=351,', 'Right=208,', 'Bottom=377'], ['car: 54%', 'Left=604,', 'Top=350,', 'Right=655,', 'Bottom=380']]
18 [['car: 91%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=376'], ['car: 80%', 'Left=44,', 'Top=351,', 'Right=83,', 'Bottom=374'], ['car: 75%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=379'], ['car: 74%', 'Left=156,', 'Top=351,', 'Right=208,', 'Bottom=377'], ['car: 55%', 'Left=604,', 'Top=350,', 'Right=654,', 'Bottom=380']]
19 [['car: 91%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=376'], ['car: 79%', 'Left=43,', 'Top=351,', 'Right=83,', 'Bottom=374'], ['car: 74%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=379'], ['car: 73%', 'Left=156,', 'Top=351,', 'Right=208,', 'Bottom=377'], ['car: 55%', 'Left=604,', 'Top=351,', 'Right=654,', 'Bottom=380']]
20 [['car: 91%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=376'], ['car: 80%', 'Left=43,', 'Top=351,', 'Right=83,', 'Bottom=374'], ['car: 73%', 'Left=320,', 'Top=349,', 'Right=395,', 'Bottom=379'], ['car: 73%', 'Left=156,', 'Top=351,', 'Right=208,', 'Bottom=377'], ['car: 56%', 'Left=604,', 'Top=351,', 'Right=654,', 'Bottom=380']]
21 [['car: 90%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=376'], ['car: 79%', 'Left=43,', 'Top=351,', 'Right=83,', 'Bottom=375'], ['car: 67%', 'Left=324,', 'Top=349,', 'Right=428,', 'Bottom=377'], ['car: 72%', 'Left=156,', 'Top=351,', 'Right=208,', 'Bottom=377'], ['car: 58%', 'Left=604,', 'Top=352,', 'Right=654,', 'Bottom=380']]
22 [['car: 90%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=376'], ['car: 79%', 'Left=44,', 'Top=351,', 'Right=83,', 'Bottom=375'], ['car: 69%', 'Left=324,', 'Top=349,', 'Right=429,', 'Bottom=377'], ['car: 71%', 'Left=156,', 'Top=351,', 'Right=208,', 'Bottom=377'], ['car: 60%', 'Left=605,', 'Top=352,', 'Right=654,', 'Bottom=380']]
23 [['car: 90%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=376'], ['car: 80%', 'Left=44,', 'Top=351,', 'Right=83,', 'Bottom=375'], ['car: 72%', 'Left=320,', 'Top=349,', 'Right=395,', 'Bottom=379'], ['car: 71%', 'Left=156,', 'Top=351,', 'Right=208,', 'Bottom=378'], ['car: 59%', 'Left=605,', 'Top=352,', 'Right=654,', 'Bottom=380']]
24 [['car: 91%', 'Left=404,', 'Top=353,', 'Right=452,', 'Bottom=376'], ['car: 80%', 'Left=44,', 'Top=351,', 'Right=83,', 'Bottom=375'], ['car: 75%', 'Left=320,', 'Top=349,', 'Right=395,', 'Bottom=379'], ['car: 70%', 'Left=156,', 'Top=351,', 'Right=208,', 'Bottom=378'], ['car: 59%', 'Left=605,', 'Top=352,', 'Right=654,', 'Bottom=380']]
25 [['car: 91%', 'Left=404,', 'Top=353,', 'Right=452,', 'Bottom=376'], ['car: 79%', 'Left=43,', 'Top=350,', 'Right=83,', 'Bottom=375'], ['car: 77%', 'Left=320,', 'Top=348,', 'Right=395,', 'Bottom=379'], ['car: 59%', 'Left=605,', 'Top=351,', 'Right=655,', 'Bottom=380'], ['car: 69%', 'Left=155,', 'Top=351,', 'Right=208,', 'Bottom=378']]
