1 []
2 []
3 [['car: 91%', 'Left=629,', 'Top=385,', 'Right=719,', 'Bottom=450'], ['car: 97%', 'Left=711,', 'Top=392,', 'Right=803,', 'Bottom=452']]
4 [['car: 90%', 'Left=629,', 'Top=385,', 'Right=719,', 'Bottom=450'], ['car: 97%', 'Left=713,', 'Top=393,', 'Right=803,', 'Bottom=452']]
5 [['car: 90%', 'Left=629,', 'Top=385,', 'Right=719,', 'Bottom=450'], ['car: 98%', 'Left=714,', 'Top=393,', 'Right=803,', 'Bottom=453']]
6 [['car: 91%', 'Left=629,', 'Top=385,', 'Right=721,', 'Bottom=450'], ['car: 98%', 'Left=715,', 'Top=392,', 'Right=803,', 'Bottom=453']]
7 [['car: 93%', 'Left=629,', 'Top=385,', 'Right=722,', 'Bottom=450'], ['car: 98%', 'Left=716,', 'Top=391,', 'Right=802,', 'Bottom=453']]
8 [['car: 95%', 'Left=628,', 'Top=386,', 'Right=723,', 'Bottom=450'], ['car: 98%', 'Left=717,', 'Top=391,', 'Right=802,', 'Bottom=452']]
9 [['car: 95%', 'Left=628,', 'Top=386,', 'Right=723,', 'Bottom=449'], ['car: 99%', 'Left=717,', 'Top=392,', 'Right=802,', 'Bottom=452']]
10 [['car: 96%', 'Left=628,', 'Top=386,', 'Right=723,', 'Bottom=449'], ['car: 99%', 'Left=717,', 'Top=393,', 'Right=802,', 'Bottom=452']]
11 [['car: 96%', 'Left=629,', 'Top=386,', 'Right=723,', 'Bottom=449'], ['car: 98%', 'Left=717,', 'Top=394,', 'Right=802,', 'Bottom=453']]
12 [['car: 96%', 'Left=629,', 'Top=385,', 'Right=723,', 'Bottom=449'], ['car: 98%', 'Left=717,', 'Top=393,', 'Right=802,', 'Bottom=453']]
13 [['car: 96%', 'Left=629,', 'Top=385,', 'Right=723,', 'Bottom=450'], ['car: 97%', 'Left=716,', 'Top=392,', 'Right=802,', 'Bottom=454']]
14 [['car: 95%', 'Left=628,', 'Top=385,', 'Right=724,', 'Bottom=450'], ['car: 97%', 'Left=716,', 'Top=393,', 'Right=802,', 'Bottom=455']]
15 [['car: 95%', 'Left=627,', 'Top=385,', 'Right=726,', 'Bottom=450'], ['car: 96%', 'Left=716,', 'Top=394,', 'Right=803,', 'Bottom=455']]
16 [['car: 96%', 'Left=626,', 'Top=386,', 'Right=726,', 'Bottom=450'], ['car: 97%', 'Left=716,', 'Top=394,', 'Right=803,', 'Bottom=455']]
17 [['car: 97%', 'Left=627,', 'Top=385,', 'Right=727,', 'Bottom=450'], ['car: 96%', 'Left=723,', 'Top=394,', 'Right=807,', 'Bottom=454']]
18 [['car: 97%', 'Left=627,', 'Top=384,', 'Right=725,', 'Bottom=451'], ['car: 97%', 'Left=723,', 'Top=393,', 'Right=807,', 'Bottom=454']]
19 [['car: 97%', 'Left=628,', 'Top=384,', 'Right=724,', 'Bottom=451'], ['car: 97%', 'Left=723,', 'Top=392,', 'Right=807,', 'Bottom=454']]
20 [['car: 96%', 'Left=628,', 'Top=383,', 'Right=723,', 'Bottom=452'], ['car: 97%', 'Left=723,', 'Top=392,', 'Right=807,', 'Bottom=454']]
21 [['car: 95%', 'Left=628,', 'Top=383,', 'Right=724,', 'Bottom=452'], ['car: 98%', 'Left=723,', 'Top=393,', 'Right=807,', 'Bottom=454']]
