1 []
2 []
3 [['car: 98%', 'Left=477,', 'Top=353,', 'Right=540,', 'Bottom=404'], ['car: 74%', 'Left=0,', 'Top=486,', 'Right=1279,', 'Bottom=701'], ['truck: 53%', 'Left=1096,', 'Top=308,', 'Right=1227,', 'Bottom=369']]
4 [['car: 97%', 'Left=474,', 'Top=352,', 'Right=538,', 'Bottom=404'], ['truck: 67%', 'Left=1097,', 'Top=307,', 'Right=1235,', 'Bottom=370'], ['car: 70%', 'Left=0,', 'Top=541,', 'Right=1279,', 'Bottom=704']]
5 [['car: 97%', 'Left=473,', 'Top=352,', 'Right=537,', 'Bottom=405'], ['truck: 72%', 'Left=1099,', 'Top=307,', 'Right=1240,', 'Bottom=370'], ['car: 70%', 'Left=0,', 'Top=543,', 'Right=1279,', 'Bottom=704']]
6 [['car: 96%', 'Left=472,', 'Top=351,', 'Right=536,', 'Bottom=405'], ['truck: 67%', 'Left=1104,', 'Top=307,', 'Right=1244,', 'Bottom=370'], ['car: 72%', 'Left=0,', 'Top=543,', 'Right=1279,', 'Bottom=704']]
7 [['car: 95%', 'Left=471,', 'Top=351,', 'Right=535,', 'Bottom=405'], ['car: 76%', 'Left=0,', 'Top=542,', 'Right=1279,', 'Bottom=705'], ['truck: 51%', 'Left=1107,', 'Top=306,', 'Right=1245,', 'Bottom=371'], ['car: 59%', 'Left=531,', 'Top=349,', 'Right=573,', 'Bottom=375']]
8 [['car: 96%', 'Left=469,', 'Top=351,', 'Right=533,', 'Bottom=405'], ['car: 78%', 'Left=0,', 'Top=543,', 'Right=1279,', 'Bottom=706'], ['car: 68%', 'Left=529,', 'Top=349,', 'Right=575,', 'Bottom=377']]
9 [['car: 97%', 'Left=467,', 'Top=352,', 'Right=531,', 'Bottom=405'], ['car: 77%', 'Left=0,', 'Top=543,', 'Right=1279,', 'Bottom=707'], ['car: 61%', 'Left=527,', 'Top=350,', 'Right=576,', 'Bottom=377']]
10 [['car: 97%', 'Left=465,', 'Top=353,', 'Right=529,', 'Bottom=406'], ['car: 74%', 'Left=0,', 'Top=544,', 'Right=1279,', 'Bottom=706'], ['car: 51%', 'Left=525,', 'Top=350,', 'Right=576,', 'Bottom=378']]
11 [['car: 98%', 'Left=463,', 'Top=354,', 'Right=528,', 'Bottom=406'], ['car: 72%', 'Left=0,', 'Top=542,', 'Right=1279,', 'Bottom=707']]
12 [['car: 97%', 'Left=462,', 'Top=354,', 'Right=527,', 'Bottom=406'], ['truck: 61%', 'Left=1145,', 'Top=298,', 'Right=1276,', 'Bottom=365'], ['car: 72%', 'Left=0,', 'Top=542,', 'Right=1279,', 'Bottom=707']]
13 [['car: 96%', 'Left=462,', 'Top=354,', 'Right=526,', 'Bottom=406'], ['car: 66%', 'Left=0,', 'Top=542,', 'Right=1279,', 'Bottom=706']]
14 [['car: 90%', 'Left=459,', 'Top=354,', 'Right=522,', 'Bottom=405'], ['car: 63%', 'Left=0,', 'Top=544,', 'Right=1279,', 'Bottom=705']]
15 [['car: 93%', 'Left=458,', 'Top=354,', 'Right=521,', 'Bottom=405'], ['car: 61%', 'Left=0,', 'Top=545,', 'Right=1279,', 'Bottom=705']]
16 [['car: 94%', 'Left=457,', 'Top=354,', 'Right=520,', 'Bottom=405'], ['car: 66%', 'Left=0,', 'Top=545,', 'Right=1279,', 'Bottom=705']]
17 [['car: 95%', 'Left=457,', 'Top=353,', 'Right=518,', 'Bottom=404'], ['car: 69%', 'Left=0,', 'Top=544,', 'Right=1279,', 'Bottom=704']]
18 [['car: 93%', 'Left=455,', 'Top=352,', 'Right=517,', 'Bottom=403'], ['car: 69%', 'Left=0,', 'Top=541,', 'Right=1279,', 'Bottom=704']]
19 [['car: 93%', 'Left=453,', 'Top=349,', 'Right=515,', 'Bottom=401'], ['car: 65%', 'Left=0,', 'Top=539,', 'Right=1279,', 'Bottom=702']]
20 [['car: 91%', 'Left=450,', 'Top=348,', 'Right=513,', 'Bottom=399'], ['car: 67%', 'Left=0,', 'Top=538,', 'Right=1279,', 'Bottom=701']]
21 [['car: 91%', 'Left=450,', 'Top=346,', 'Right=512,', 'Bottom=398'], ['car: 70%', 'Left=0,', 'Top=539,', 'Right=1279,', 'Bottom=700']]
22 [['car: 89%', 'Left=449,', 'Top=346,', 'Right=511,', 'Bottom=397'], ['car: 79%', 'Left=0,', 'Top=540,', 'Right=1279,', 'Bottom=701']]
23 [['car: 89%', 'Left=447,', 'Top=345,', 'Right=511,', 'Bottom=397'], ['car: 82%', 'Left=0,', 'Top=539,', 'Right=1279,', 'Bottom=701']]
24 [['car: 89%', 'Left=446,', 'Top=344,', 'Right=510,', 'Bottom=397'], ['car: 86%', 'Left=0,', 'Top=541,', 'Right=1279,', 'Bottom=702']]
25 [['car: 90%', 'Left=445,', 'Top=344,', 'Right=510,', 'Bottom=397'], ['car: 86%', 'Left=0,', 'Top=542,', 'Right=1279,', 'Bottom=701']]
26 [['car: 90%', 'Left=445,', 'Top=345,', 'Right=509,', 'Bottom=398'], ['car: 83%', 'Left=0,', 'Top=546,', 'Right=1279,', 'Bottom=700']]
27 [['car: 92%', 'Left=445,', 'Top=345,', 'Right=509,', 'Bottom=398'], ['car: 76%', 'Left=0,', 'Top=548,', 'Right=1279,', 'Bottom=699']]
28 [['car: 94%', 'Left=444,', 'Top=345,', 'Right=509,', 'Bottom=398'], ['car: 75%', 'Left=0,', 'Top=550,', 'Right=1279,', 'Bottom=700']]
29 [['car: 95%', 'Left=444,', 'Top=345,', 'Right=509,', 'Bottom=398'], ['car: 76%', 'Left=0,', 'Top=549,', 'Right=1279,', 'Bottom=702']]
30 [['car: 95%', 'Left=444,', 'Top=344,', 'Right=509,', 'Bottom=398'], ['car: 78%', 'Left=0,', 'Top=550,', 'Right=1279,', 'Bottom=703']]
31 [['car: 95%', 'Left=444,', 'Top=343,', 'Right=509,', 'Bottom=398'], ['car: 73%', 'Left=0,', 'Top=547,', 'Right=1279,', 'Bottom=706']]
32 [['car: 95%', 'Left=444,', 'Top=343,', 'Right=509,', 'Bottom=398'], ['car: 66%', 'Left=0,', 'Top=546,', 'Right=1279,', 'Bottom=708']]
33 [['car: 93%', 'Left=445,', 'Top=344,', 'Right=510,', 'Bottom=399'], ['car: 58%', 'Left=0,', 'Top=546,', 'Right=1279,', 'Bottom=709']]
34 [['car: 92%', 'Left=445,', 'Top=345,', 'Right=510,', 'Bottom=399'], ['car: 54%', 'Left=0,', 'Top=546,', 'Right=1279,', 'Bottom=708']]
35 [['car: 91%', 'Left=446,', 'Top=345,', 'Right=510,', 'Bottom=399'], ['car: 52%', 'Left=0,', 'Top=546,', 'Right=1279,', 'Bottom=706']]
36 [['car: 92%', 'Left=446,', 'Top=344,', 'Right=511,', 'Bottom=398'], ['car: 51%', 'Left=0,', 'Top=546,', 'Right=1279,', 'Bottom=705']]
37 [['car: 93%', 'Left=446,', 'Top=343,', 'Right=511,', 'Bottom=398']]
38 [['car: 93%', 'Left=447,', 'Top=341,', 'Right=511,', 'Bottom=398']]
39 [['car: 90%', 'Left=449,', 'Top=340,', 'Right=512,', 'Bottom=398']]
40 [['car: 87%', 'Left=450,', 'Top=339,', 'Right=512,', 'Bottom=397']]
41 [['car: 85%', 'Left=451,', 'Top=339,', 'Right=513,', 'Bottom=397'], ['car: 51%', 'Left=371,', 'Top=359,', 'Right=395,', 'Bottom=378']]
42 [['car: 85%', 'Left=453,', 'Top=340,', 'Right=515,', 'Bottom=396'], ['car: 58%', 'Left=372,', 'Top=359,', 'Right=398,', 'Bottom=378']]
43 [['car: 80%', 'Left=457,', 'Top=341,', 'Right=517,', 'Bottom=396'], ['car: 64%', 'Left=374,', 'Top=359,', 'Right=401,', 'Bottom=379']]
44 [['car: 82%', 'Left=460,', 'Top=342,', 'Right=518,', 'Bottom=396'], ['car: 62%', 'Left=376,', 'Top=360,', 'Right=404,', 'Bottom=380']]
45 [['car: 82%', 'Left=461,', 'Top=342,', 'Right=519,', 'Bottom=397'], ['car: 70%', 'Left=381,', 'Top=360,', 'Right=411,', 'Bottom=380']]
46 [['car: 87%', 'Left=463,', 'Top=345,', 'Right=523,', 'Bottom=399'], ['car: 79%', 'Left=383,', 'Top=361,', 'Right=414,', 'Bottom=383']]
47 [['car: 87%', 'Left=464,', 'Top=347,', 'Right=524,', 'Bottom=402'], ['car: 78%', 'Left=385,', 'Top=363,', 'Right=417,', 'Bottom=386']]
48 [['car: 83%', 'Left=465,', 'Top=350,', 'Right=524,', 'Bottom=407'], ['car: 68%', 'Left=388,', 'Top=365,', 'Right=421,', 'Bottom=391']]
49 [['car: 70%', 'Left=467,', 'Top=353,', 'Right=523,', 'Bottom=409'], ['car: 60%', 'Left=390,', 'Top=367,', 'Right=423,', 'Bottom=393']]
50 [['car: 84%', 'Left=467,', 'Top=360,', 'Right=526,', 'Bottom=417']]
